"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016년 09월 19일","128.65","129.91","129.94","128.26","14.96M","-0.33%"
"2016년 09월 16일","129.07","128.20","129.18","128.20","24.12M","0.56%"
"2016년 09월 15일","128.35","127.98","129.10","127.67","15.11M","0.45%"
"2016년 09월 14일","127.77","126.89","128.80","126.89","15.72M","0.44%"
"2016년 09월 13일","127.21","128.03","128.35","126.66","18.02M","-1.15%"
"2016년 09월 12일","128.69","125.96","128.76","125.75","21.25M","1.25%"
"2016년 09월 09일","127.10","129.71","129.95","127.10","27.10M","-2.43%"
"2016년 09월 08일","130.27","130.92","131.08","129.81","15.68M","-0.60%"
"2016년 09월 07일","131.05","130.04","131.98","129.95","27.99M","1.02%"
"2016년 09월 06일","129.73","126.67","129.94","126.47","26.28M","2.55%"
"2016년 09월 02일","126.51","126.85","126.86","126.00","12.12M","0.27%"
"2016년 09월 01일","126.17","126.38","126.63","125.60","13.54M","0.04%"
"2016년 08월 31일","126.12","125.60","126.22","125.10","14.20M","0.22%"
"2016년 08월 30일","125.84","126.60","126.60","125.15","17.80M","-0.55%"
"2016년 08월 29일","126.54","124.35","126.73","124.35","15.93M","1.26%"
"2016년 08월 26일","124.96","124.05","125.19","123.91","17.50M","0.86%"
"2016년 08월 25일","123.89","123.12","124.37","123.10","10.73M","0.33%"
"2016년 08월 24일","123.48","124.47","124.69","123.09","12.24M","-0.72%"
"2016년 08월 23일","124.37","124.51","125.09","124.25","13.31M","0.18%"
"2016년 08월 22일","124.15","123.33","124.83","123.11","14.39M","0.48%"
"2016년 08월 19일","123.56","123.60","124.16","123.28","11.69M","-0.28%"
"2016년 08월 18일","123.91","124.01","124.26","123.64","12.40M","-0.37%"
"2016년 08월 17일","124.37","123.66","124.38","122.85","13.79M","0.87%"
"2016년 08월 16일","123.30","123.50","123.92","122.78","14.22M","-0.48%"
"2016년 08월 15일","123.90","124.91","124.92","123.70","19.30M","-0.78%"
"2016년 08월 12일","124.88","124.70","125.00","124.18","12.16M","-0.02%"
"2016년 08월 11일","124.90","125.20","125.38","124.75","11.73M","0.02%"
"2016년 08월 10일","124.88","125.07","125.48","124.54","10.67M","-0.14%"
"2016년 08월 09일","125.06","125.34","126.09","124.53","19.62M","-0.16%"
"2016년 08월 08일","125.26","125.25","125.45","124.55","15.23M","0.09%"
"2016년 08월 05일","125.15","124.98","125.83","124.62","20.18M","0.64%"
"2016년 08월 04일","124.36","122.94","124.79","122.51","21.07M","1.51%"
"2016년 08월 03일","122.51","123.09","123.92","122.31","18.53M","-0.47%"
"2016년 08월 02일","123.09","124.06","124.80","122.07","23.97M","-0.98%"
"2016년 08월 01일","124.31","123.85","124.58","122.86","25.01M","0.30%"
"2016년 07월 29일","123.94","124.65","125.84","123.71","35.06M","-0.85%"
"2016년 07월 28일","125.00","127.52","128.33","123.63","78.96M","1.35%"
"2016년 07월 27일","123.34","122.42","125.00","121.51","52.65M","1.75%"
"2016년 07월 26일","121.22","122.00","122.07","120.75","17.61M","-0.34%"
"2016년 07월 25일","121.63","121.39","121.85","117.78","18.49M","0.52%"
"2016년 07월 22일","121.00","119.90","121.01","119.31","18.42M","0.32%"
"2016년 07월 21일","120.61","121.92","122.10","120.25","17.80M","-1.07%"
"2016년 07월 20일","121.92","121.25","122.20","120.56","20.05M","1.09%"
"2016년 07월 19일","120.61","118.99","120.85","118.66","21.54M","1.04%"
"2016년 07월 18일","119.37","117.32","119.61","116.89","20.87M","2.15%"
"2016년 07월 15일","116.86","117.74","118.28","116.58","16.65M","-0.37%"
"2016년 07월 14일","117.29","117.50","117.64","116.70","14.58M","0.44%"
"2016년 07월 13일","116.78","118.39","118.40","116.68","16.21M","-0.98%"
"2016년 07월 12일","117.93","118.63","118.72","117.57","15.22M","0.05%"
"2016년 07월 11일","117.87","117.71","118.70","117.50","17.71M","0.54%"
"2016년 07월 08일","117.24","116.43","117.50","115.85","18.14M","1.20%"
"2016년 07월 07일","115.85","116.63","116.97","115.36","16.63M","-0.73%"
"2016년 07월 06일","116.70","113.36","116.79","112.97","24.34M","2.37%"
"2016년 07월 05일","114.00","113.94","114.11","112.97","14.21M","-0.17%"
"2016년 07월 01일","114.19","114.20","115.13","113.81","14.98M","-0.08%"
