"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 07월 24일","317.94","310.51","319.99","307.25","11.96M","3.46%"
"2019년 07월 23일","307.30","311.44","313.50","306.00","9.17M","-1.07%"
"2019년 07월 22일","310.62","312.00","314.54","305.81","17.73M","-1.42%"
"2019년 07월 19일","315.10","323.40","325.85","314.23","16.30M","-3.11%"
"2019년 07월 18일","325.21","323.76","329.85","320.30","31.31M","-10.27%"
"2019년 07월 17일","362.44","366.25","366.50","361.75","13.64M","-0.97%"
"2019년 07월 16일","365.99","370.09","371.34","364.92","5.86M","-0.17%"
"2019년 07월 15일","366.60","372.94","373.68","362.30","7.94M","-1.78%"
"2019년 07월 12일","373.25","378.68","379.74","372.79","6.64M","-1.65%"
"2019년 07월 11일","379.50","381.10","384.54","378.80","4.34M","-0.39%"
"2019년 07월 10일","381.00","382.77","384.34","377.40","5.88M","0.28%"
"2019년 07월 09일","379.93","379.06","384.76","377.50","6.93M","1.00%"
"2019년 07월 08일","376.16","378.19","378.25","375.36","3.11M","-1.15%"
"2019년 07월 05일","380.55","378.29","381.40","375.56","3.73M","-0.31%"
"2019년 07월 03일","381.72","376.69","381.99","375.84","3.80M","1.68%"
"2019년 07월 02일","375.43","374.89","376.00","370.31","3.63M","0.22%"
"2019년 07월 01일","374.60","373.50","376.66","372.00","5.00M","1.98%"
