"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 07월 19일","198.36","202.18","202.33","198.07","12.10M","-1.21%"
"2019년 07월 18일","200.78","200.15","202.47","199.38","11.96M","-0.51%"
"2019년 07월 17일","201.80","204.18","204.36","201.59","12.08M","-1.00%"
"2019년 07월 16일","203.84","203.89","205.47","203.10","12.13M","-0.03%"
"2019년 07월 15일","203.91","204.25","205.33","201.82","16.03M","-0.47%"
"2019년 07월 12일","204.87","199.68","205.30","199.16","15.37M","1.81%"
"2019년 07월 11일","201.23","203.26","203.80","200.21","13.68M","-0.74%"
"2019년 07월 10일","202.73","200.00","202.96","199.67","20.57M","1.77%"
"2019년 07월 09일","199.21","194.97","199.46","194.89","14.70M","1.76%"
"2019년 07월 08일","195.76","195.19","196.68","193.64","9.72M","-0.33%"
"2019년 07월 05일","196.40","196.18","197.07","194.17","11.16M","-0.41%"
"2019년 07월 03일","197.20","194.16","197.40","194.16","10.25M","1.13%"
"2019년 07월 02일","195.00","193.00","195.00","192.71","9.05M","1.04%"
"2019년 07월 01일","193.00","195.21","195.28","191.93","14.20M","0.00%"
"2019년 06월 28일","193.00","190.55","193.20","189.94","16.38M","1.85%"
"2019년 06월 27일","189.50","189.88","189.95","188.27","11.16M","0.98%"
"2019년 06월 26일","187.66","189.54","190.76","187.31","12.81M","-0.62%"
"2019년 06월 25일","188.84","192.88","193.14","188.13","16.75M","-1.95%"
"2019년 06월 24일","192.60","192.42","193.98","191.57","15.51M","0.76%"
"2019년 06월 21일","191.14","188.75","192.00","188.75","22.75M","0.85%"
"2019년 06월 20일","189.53","190.95","191.16","187.64","14.64M","1.09%"
"2019년 06월 19일","187.48","187.00","188.10","184.55","21.42M","-0.53%"
"2019년 06월 18일","188.47","194.00","194.53","187.28","37.57M","-0.29%"
"2019년 06월 17일","189.01","185.01","189.50","184.41","29.46M","4.24%"
"2019년 06월 14일","181.33","180.51","181.84","180.00","16.77M","2.18%"
"2019년 06월 13일","177.47","175.53","178.03","174.61","12.25M","1.39%"
"2019년 06월 12일","175.04","178.38","179.27","172.88","17.70M","-1.72%"
"2019년 06월 11일","178.10","178.48","179.98","176.79","15.27M","1.88%"
"2019년 06월 10일","174.82","174.75","177.86","173.80","14.77M","0.85%"
"2019년 06월 07일","173.35","170.17","173.87","168.84","16.92M","2.98%"
"2019년 06월 06일","168.33","168.30","169.70","167.23","12.45M","0.10%"
"2019년 06월 05일","168.17","167.48","168.72","164.63","19.76M","0.40%"
"2019년 06월 04일","167.50","163.71","168.28","160.84","46.04M","2.04%"
"2019년 06월 03일","164.15","175.00","175.05","161.01","56.06M","-7.51%"
"2019년 05월 31일","177.47","180.28","180.54","177.16","15.23M","-3.03%"
"2019년 05월 30일","183.01","183.08","183.48","180.89","8.58M","0.45%"
"2019년 05월 29일","182.19","183.50","184.56","181.35","12.80M","-1.15%"
"2019년 05월 28일","184.31","181.54","184.71","181.45","14.84M","1.79%"
"2019년 05월 24일","181.06","182.33","183.63","180.83","8.81M","0.11%"
"2019년 05월 23일","180.87","182.42","183.90","179.67","12.77M","-2.40%"
"2019년 05월 22일","185.32","184.73","186.74","183.61","9.21M","0.27%"
"2019년 05월 21일","184.82","184.57","185.70","183.88","7.50M","1.15%"
"2019년 05월 20일","182.72","181.88","184.23","181.37","10.35M","-1.39%"
"2019년 05월 17일","185.30","184.84","187.58","184.28","10.49M","-0.90%"
"2019년 05월 16일","186.99","185.05","188.57","185.05","12.95M","0.39%"
"2019년 05월 15일","186.27","180.42","187.28","180.02","16.75M","3.07%"
"2019년 05월 14일","180.73","182.52","183.49","178.10","17.63M","-0.45%"
"2019년 05월 13일","181.54","183.50","185.43","180.84","16.83M","-3.61%"
"2019년 05월 10일","188.34","188.25","190.00","184.59","12.58M","-0.16%"
"2019년 05월 09일","188.65","187.20","189.77","186.26","12.97M","-0.47%"
"2019년 05월 08일","189.54","189.39","190.72","188.55","12.51M","-0.12%"
"2019년 05월 07일","189.77","192.54","192.90","187.85","16.25M","-2.12%"
"2019년 05월 06일","193.88","191.24","194.28","190.55","13.99M","-0.81%"
"2019년 05월 03일","195.47","194.38","196.16","193.71","14.58M","1.53%"
"2019년 05월 02일","192.53","193.00","194.00","189.75","13.21M","-0.26%"
"2019년 05월 01일","193.03","194.78","196.18","193.01","16.00M","-0.19%"
"2019년 04월 30일","193.40","194.19","197.39","192.28","23.49M","-0.71%"
"2019년 04월 29일","194.78","190.95","195.41","190.65","19.64M","1.72%"
"2019년 04월 26일","191.49","192.50","192.90","189.09","22.08M","-0.92%"
"2019년 04월 25일","193.26","196.98","198.48","192.12","54.15M","5.85%"
"2019년 04월 24일","182.58","184.49","185.14","181.65","37.29M","-0.65%"
"2019년 04월 23일","183.78","182.74","184.22","181.48","19.95M","1.29%"
"2019년 04월 22일","181.44","178.25","181.66","178.25","13.39M","1.77%"
"2019년 04월 18일","178.28","178.80","178.88","177.34","11.66M","-0.28%"
"2019년 04월 17일","178.78","179.60","180.74","178.36","9.97M","-0.05%"
"2019년 04월 16일","178.87","179.00","180.17","178.30","11.22M","-0.43%"
"2019년 04월 15일","179.65","178.50","180.50","176.87","10.83M","0.31%"
"2019년 04월 12일","179.10","178.00","179.63","177.95","12.33M","0.90%"
"2019년 04월 11일","177.51","178.24","178.40","177.00","8.07M","-0.17%"
"2019년 04월 10일","177.82","178.18","178.79","176.54","11.70M","0.14%"
"2019년 04월 09일","177.58","175.62","179.19","175.55","19.75M","1.51%"
"2019년 04월 08일","174.93","175.21","175.50","174.23","7.30M","-0.45%"
"2019년 04월 05일","175.72","176.88","177.00","175.10","9.59M","-0.17%"
"2019년 04월 04일","176.02","176.02","178.00","175.53","17.85M","1.43%"
"2019년 04월 03일","173.54","174.50","177.96","172.95","27.59M","-0.38%"
"2019년 04월 02일","174.20","170.14","174.90","169.55","23.95M","3.26%"
"2019년 04월 01일","168.70","167.83","168.90","167.28","10.38M","1.21%"
"2019년 03월 29일","166.69","166.39","167.19","164.81","13.46M","0.69%"
"2019년 03월 28일","165.55","164.57","166.72","163.33","10.69M","-0.19%"
"2019년 03월 27일","165.87","167.85","168.94","164.79","10.62M","-1.08%"
"2019년 03월 26일","167.68","167.35","169.45","166.35","15.44M","0.84%"
"2019년 03월 25일","166.29","163.00","166.54","162.00","12.63M","1.19%"
"2019년 03월 22일","164.34","165.65","167.42","164.09","16.39M","-1.05%"
"2019년 03월 21일","166.08","164.89","166.39","163.75","16.22M","0.39%"
"2019년 03월 20일","165.44","161.50","166.12","161.24","20.21M","2.40%"
"2019년 03월 19일","161.57","161.48","163.82","160.82","25.61M","0.69%"
"2019년 03월 18일","160.47","163.57","163.90","159.28","37.52M","-3.32%"
"2019년 03월 15일","165.98","167.16","167.58","162.51","37.13M","-2.46%"
"2019년 03월 14일","170.17","169.76","171.15","168.16","18.04M","-1.85%"
"2019년 03월 13일","173.37","172.32","174.03","172.12","11.97M","0.84%"
"2019년 03월 12일","171.92","172.09","173.80","171.22","12.16M","-0.09%"
"2019년 03월 11일","172.07","171.60","174.30","171.58","18.88M","1.46%"
"2019년 03월 08일","169.60","166.20","169.62","165.97","13.18M","0.28%"
"2019년 03월 07일","169.13","171.50","171.74","167.61","18.31M","-1.96%"
"2019년 03월 06일","172.51","172.90","173.57","171.27","21.53M","0.73%"
"2019년 03월 05일","171.26","167.37","171.88","166.55","28.19M","2.32%"
"2019년 03월 04일","167.37","163.90","167.50","163.83","18.89M","3.14%"
"2019년 03월 01일","162.28","162.60","163.13","161.69","11.10M","0.51%"
"2019년 02월 28일","161.45","162.37","163.50","160.86","11.11M","-0.84%"
"2019년 02월 27일","162.81","162.90","163.93","160.41","12.70M","-0.80%"
"2019년 02월 26일","164.13","164.34","166.24","163.80","13.78M","-0.30%"
"2019년 02월 25일","164.62","163.07","166.07","162.90","18.74M","1.69%"
"2019년 02월 22일","161.89","160.58","162.41","160.31","15.86M","1.16%"
"2019년 02월 21일","160.04","161.93","162.24","159.59","15.61M","-1.55%"
"2019년 02월 20일","162.56","162.25","163.72","161.25","11.77M","0.17%"
"2019년 02월 19일","162.29","160.50","164.15","160.33","14.35M","-0.13%"
"2019년 02월 15일","162.50","164.51","164.70","160.86","15.50M","-0.88%"
"2019년 02월 14일","163.95","163.19","164.87","162.25","12.76M","-0.07%"
"2019년 02월 13일","164.07","165.38","166.22","163.73","14.21M","-0.59%"
"2019년 02월 12일","165.04","166.86","168.34","164.50","16.29M","-0.45%"
"2019년 02월 11일","165.79","167.90","168.30","165.08","12.81M","-0.92%"
"2019년 02월 08일","167.33","164.47","167.37","164.21","12.56M","0.57%"
"2019년 02월 07일","166.38","168.20","169.24","165.25","17.52M","-2.41%"
"2019년 02월 06일","170.49","171.20","172.47","169.27","13.28M","-0.39%"
"2019년 02월 05일","171.16","169.15","171.98","168.69","22.56M","1.13%"
"2019년 02월 04일","169.25","165.70","169.30","163.62","20.04M","2.14%"
"2019년 02월 01일","165.71","165.84","169.10","165.66","30.81M","-0.59%"
"2019년 01월 31일","166.69","165.60","171.68","165.00","77.23M","10.82%"
"2019년 01월 30일","150.42","146.22","150.95","145.70","44.61M","4.32%"
"2019년 01월 29일","144.19","148.09","148.10","143.43","17.63M","-2.22%"
"2019년 01월 28일","147.47","148.05","148.96","146.21","15.51M","-1.03%"
"2019년 01월 25일","149.01","147.48","149.83","146.54","22.25M","2.18%"
"2019년 01월 24일","145.83","144.64","146.44","142.52","20.96M","1.06%"
"2019년 01월 23일","144.30","148.28","148.80","143.06","20.10M","-2.22%"
"2019년 01월 22일","147.57","149.20","151.53","146.37","22.38M","-1.65%"
"2019년 01월 18일","150.04","149.75","152.43","148.55","31.03M","1.17%"
"2019년 01월 17일","148.30","146.95","149.00","146.50","15.79M","0.52%"
"2019년 01월 16일","147.54","149.00","149.65","147.00","18.03M","-0.95%"
"2019년 01월 15일","148.95","146.01","150.68","145.99","24.07M","2.45%"
"2019년 01월 14일","145.39","142.00","146.57","141.27","20.52M","1.11%"
"2019년 01월 11일","143.80","143.15","145.36","142.57","12.91M","-0.28%"
"2019년 01월 10일","144.20","143.08","144.56","140.84","16.13M","-0.02%"
"2019년 01월 09일","144.23","142.95","144.70","141.27","22.21M","1.19%"
"2019년 01월 08일","142.53","139.89","143.14","139.54","26.26M","3.25%"
"2019년 01월 07일","138.05","137.56","138.87","135.91","20.09M","0.07%"
"2019년 01월 04일","137.95","134.01","138.00","133.75","29.00M","4.71%"
"2019년 01월 03일","131.74","134.69","137.17","131.12","22.72M","-2.90%"
"2019년 01월 02일","135.68","128.99","137.51","128.56","28.15M","3.50%"
